title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Big Data аналитик (Junior),,Алматы,"Beeline, ТМ",19-07-2023,"Отличные знания высшей математики, теории вероятности и математической статистики. Желание решать аналитические задачи для получения практически полезных выводов. ","Проведение аналитических работ в своем направлении. Построение прогнозов и прогнозных моделей. Выявлять проблемы и находить узкие места, с которыми сталкивается...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83688314
Data аналитик,,Алматы,"Центр развития города Алматы, АО",29-06-2023,Обязательное высшее техническое образование. Опыт работы в области <highlighttext>аналитики</highlighttext> данных от 3-х лет. Опыт работы с SQL (мы используем...,"Автоматизация и разработка алгоритмов для сбора и обработки (очистки и верификации) данных. Формирование скриптов загрузки, парсеров. Работа с SQL. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82757292
Data Analyst,,Алматы,Казахстанско - Британский технический университет,20-07-2023,"Высшее образование в области компьютерных наук, математики, физики, эконометрики или смежных областях. Более 2 лет профессионального опыта в технической роли...","Проектирование и разработка автоматизированных решений для обработки данных (прием, обработка, <highlighttext>аналитика</highlighttext> и вся необходимая логика для создания высококачественных продуктов). ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83728215
Data Engineer,,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),13-07-2023,Уверенное владение SQL и PL/SQL. Чтение и понимание плана запроса. Чтение и понимание чужих скриптов. Опыт оптимизации запросов на...,Разработка и поддержка витрин данных в интересах <highlighttext>аналитиков</highlighttext>/datascience. Обеспечение доступности данных в регламентные сроки. Оптимизация SQL запросов. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83364726
Game Data Analyst,,Астана,G5EN KAZ,20-07-2023,Knowledge of SQL basics. Work experience as an <highlighttext>analyst</highlighttext> in the gaming or IT industry. Experience in hands-on application...,Interact directly with the project producer and company’s lead <highlighttext>analyst</highlighttext>. Analyze financial and game indicators of the project. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83781624
Data Analyst,,Алматы,1Fit,22-07-2023,"Релевантный опыт не менее 1-го года. — Отличная математическая база, знание статистики и обширный опыт применения этого на практике. — ",Погружение в поведенческий паттерн сегментов клиентов по занятию спортом для поиска точных ответов по различным бизнес-задачам. — Проведение AB-тестов...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83367749
Data - инженер,,Алматы,TECHNODOM Operator (Технодом Оператор),20-07-2023,Опыт работы с потоковой <highlighttext>аналитикой</highlighttext> данных. Опыт в оптимизация больших запросов. Хорошее знание реляционных и не реляционных баз данных. ,"Строить потоковую <highlighttext>аналитику</highlighttext>. Разработка и поддержка витрин данных в интересах <highlighttext>аналитиков</highlighttext>/datascience. Организация мониторинга качества данных, выявление и устранение ошибок...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83755956
Middle data analyst,,Алматы,Микрофинансовая организация KMF(КМФ),24-07-2023,,"Проведение аналитических исследований, анализа конкурентов Консультирование пользователей дата-продуктов и хранилищ данных. Дата <highlighttext>аналитика</highlighttext>: Анализ и профилирование данных на источниках...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83930213
Data Engineer,700000 KZT,Астана,Datanomix.pro,03-07-2023,"Опыт работы не менее 2-3 лет в области данных и интеграции, с акцентом на работу с хранилищами данных. ","Взаимодействие с бизнес-пользователями, <highlighttext>аналитиками</highlighttext> данных и другими участниками проекта для понимания их требований, обсуждения проблем и предоставления соответствующих решений. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82919678
Data analyst,,Алматы,Банк ЦентрКредит,17-07-2023,"Опыт работы с финансовыми данными. Знание SQL, Python (pandas, numpy). Опыт применения статистических инструментов исследований. Аналитическое мышление.","Проводить Ad-Hoc исследования, находить инсайты. Выявлять закономерности в поведении клиентов и использовании продуктов, моделировать и интерпретировать их влияние на...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82226186
Middle Data Engineer,,Алматы,Prime Source,19-07-2023,"Опыт работы с отчетами и пакетами бизнес-<highlighttext>аналитики</highlighttext>, например: Tableau, QlikView, SAP BO и т.д.. Опыт работы с языками...",Построение потоков данных для хранилища. Оптимизация выгрузок данных из систем источников. Реализация трансформаций в целевые модели данных хранилища. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83661007
Data engineer,,Астана,DOCUMENTOLOG CREATIVE STUDIO,18-07-2023,"Опыт работы и уверенные навыки в ClickHouse, SQL, python, BI, docker, git обязательно. Базовые знания в DataScience (на уровне TF...","Разработка и реализация стратегии сбора, хранения и обработки данных. Совместно с <highlighttext>аналитиками</highlighttext> поиск и реализация оптимальных и автоматизированных пайплайнов обработки...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83591920
Data аналитик,,Алматы,Микрофинансовая организация KMF(КМФ),12-07-2023,"Опыт выгрузки данных из CBS Colvir, Oracle. Опыт написания скриптов на PL/TL SQL. Опыт работы с регуляторной отчетностью. ",Анализ и консолидирование требований (в т.ч. не функциональных) к составу и формату данных/отчетов от бизнеса. Внесение изменений в...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83362698
Data Engineer,,Алматы,Народный банк Казахстана,03-07-2023,,Разработка и поддержка витрин данных в интересах <highlighttext>аналитиков</highlighttext>/datascience. Обеспечение доступности данных в регламентные сроки. Оптимизация SQL запросов. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/80232911
Lead Data Analyst,,Алматы,Connectivity Solutions (Коннективити Солюшнз),17-07-2023,At least 5 years of previous working experience as a Data <highlighttext>analyst</highlighttext> or a similar role. Knowledge of and comfort...,"Conduct extensive research using numerous internal databases and the Internet. - Translate detailed, broad reporting data sets into highly summarized and...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83582418
"Data Analyst (Кипр, Лимассол)",,Алматы,Alex Staff Agency,05-07-2023,3+ года опыта работы на должности Data <highlighttext>Analyst</highlighttext>. Глубокие знания DBT. Обширные знания SQL. Опыт работы с Big Data. ,"Обучение команды <highlighttext>аналитиков</highlighttext> работе с DBT, курирование и поддержка на всех этапах. Построение процесса создания и преобразования моделей данных. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81237667
Data Engineer / Аналитик,,Астана,ЧУ «Центр информационных технологий и сервиса NIS»,03-07-2023,Опыт работы в области IT-<highlighttext>аналитики</highlighttext> от 2 лет. Понимание основ статистики и математических методов анализа данных. Опыт работы с...,Предоставление структурированных и нормализованных данных для команды <highlighttext>аналитиков</highlighttext>. Декомпозиция сложных задач и нахождение эффективных решений. Написание сложных запросов используя SQL...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81583544
Data Engineer,,Астана,Казах Софт Девелопмент,13-07-2023,Знание SQL. Опыт работы с ETL инструментом. Практические навыки работы с Python. Опыт администрирование СУБД (желательно). Ключевые навыки: SQL. ,"Разработка совместно с системными <highlighttext>аналитиками</highlighttext> алгоритмов регламентной инкрементальной загрузки. Отладка регламентных загрузок, разбор ошибок. Мониторинг исторической загрузки, разбор ошибок. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83373628
Data engineer,,Алматы,ECOMMPAY IT,14-07-2023,"Питон на хорошем уровне (пишешь код не стеной, разбиваешь на разные классы/файлики/конфиги). Хороший SQL (мы используем Vertica, MySQL...",...и настройка пайплайнов обработки данных. Интеграция новых источников данных. Построение витрин данных. Реализация алгоритмов проверки качества данных совместно с <highlighttext>аналитиками</highlighttext>.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83439561
Business Data Engineer,,Алматы,Тинькофф,16-07-2023,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 3 лет. Свободное владение SQL. Опыт проектирования объектов...,"Быть экспертом по данным: помогать <highlighttext>аналитикам</highlighttext> в решении вопросов с источниками данных, моделью данных DWH. Разрабатывать витрины в помощь <highlighttext>аналитикам</highlighttext>. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82050378
Lead Data Scientist в R&D-команду логистики Маркета,400000 - 650000 RUR,Алматы,Яндекс,14-07-2023,"От двух лет работали с алгоритмами CV и ML. Знакомы и работали с ML-библиотеками и инструментами (TensorFlow, PyTorch, scikit...","Разрабатывать и внедрять алгоритмы CV и ML, чтобы определять местоположение людей по видеокамерам. Работать над распознаванием паллет и других объектов...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83442004
Главный Data аналитик,,Алматы,Aitas KZ,19-07-2023,"Знание продуктов 1С (ERP, УПП, ЗУП и т.п.). Опыт разработки/доработки и сопровождения типовых конфигураций 1С. ","Сбор и анализ данных из разных источников. Участие в проектах по автоматизации процессов, проработке хранилища данных. Разработка требований к качеству...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83720408
Начальник отдела Big Data аналитики и Data Science,,Алматы,"Beeline, ТМ",11-07-2023,"Высшее Data Science, Computer Sceince, IT. Опыт управления командой Data science от 1 года. Прикладной опыт в Data science/AI...","Управление Data Science командой – подбор персонала, развитие и менторинг. Формирование потребностей в обучении, управление процессом грейдирования. Формализация и стандартизация процесса...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83256860
"Financial data analyst, remote",,Алматы,Xometry Europe GmbH,29-06-2023,"You have gained initial experience in Finance with Big 4, management consulting or a start-up and have a university...","Using your skills, you analyze financial data and prepare it for management use. Provide standard reports and analyses as well...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82749502
"Financial data analyst, remote",,Астана,Xometry Europe GmbH,09-07-2023,"You have gained initial experience in Finance with Big 4, management consulting or a start-up and have a university...","Using your skills, you analyze financial data and prepare it for management use. Provide standard reports and analyses as well...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83181686
Data-engineer/Python developer,,Алматы,ASTER AUTO,05-07-2023,Опыт работы с реляционным базами данных: Должны быть уверенные навыки работы с SQL (PLSQL или MySQL). Опыт в разработке\поддержании...,Поддержка и мониторинг существующей инфраструктуры данных. Участие в совместной разработке витрин для <highlighttext>аналитиков</highlighttext> и сервисов. Поиск и получение доступов к...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81511067
Business Data Engineer,,Астана,Тинькофф,16-07-2023,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 3 лет. Свободное владение SQL. Опыт проектирования объектов...,"Быть экспертом по данным: помогать <highlighttext>аналитикам</highlighttext> в решении вопросов с источниками данных, моделью данных DWH. Разрабатывать витрины в помощь <highlighttext>аналитикам</highlighttext>. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82050410
Manager / Senior Manager to Data & Analytics department,,Алматы,PricewaterhouseCoopers,27-06-2023,"...a managerial or leadership role to lead a team of <highlighttext>analysts</highlighttext> and data scientists, set goals, and establish priorities. ","Experience in managing multiple projects, setting timelines and budgets, and overseeing project execution to ensure the timely delivery of results. ",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/82489414
Senior Data Engineer,,Алматы,Prime Source,19-07-2023,"Опыт работы с отчетами и пакетами бизнес-<highlighttext>аналитики</highlighttext>, например: Tableau, QlikView, SAP BO и т.д.. Опыт работы с языками...",Построение потоков данных для хранилища. Оптимизация выгрузок данных из систем источников. Реализация трансформаций в целевые модели данных хранилища. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83660508
