title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Графический и UI/UX Junior web-дизайнер,100000 KZT,Алматы,GoodViz,20-07-2023,"Любой опыт работы на аналогичной позиции. Знание и опыт работы с инструментами: Figma, Adobe Photoshop и Adobe Illustrator. ","Разработка и создание сайтов, включая дизайн и UX. Разработка и внедрение брендбуков и логобуков. Создание графических материалов для рекламы и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83780079
UX/UI дизайнер (Удаленно),,Алматы,NCRM GROUP,23-07-2023,Свободное владение Figma. Владение основами типографики и композиции. Способность к генерации и визуализации интерфейсных решений. Понимание принципов usability и адаптивности...,Работать над внутренними проектами по веб направлению и мобильной разработке. Развивать дизайн-систему. Взаимодействовать с разработчиками и сопровождать процесс реализации...,,От 1 года до 3 лет,Проектная работа,https://hh.ru/vacancy/83901897
UX/UI Дизайнер,150000 - 200000 KZT,Актобе,eDauir,19-07-2023,Быстрая обучаемость и желание развиваться.,"Работа в Актобе. Разработка UI/UX дизайна сайта, платформы.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83703079
UI/UX Веб-дизайнер,300000 - 500000 KZT,Алматы,Keip Tech,23-07-2023,"Опыт работы в области UI/UX дизайна от 3 лет. Владение инструментами Figma, включая создание и использование динамических компонентов, прототипирование...","Разработка и реализация дизайна пользовательского интерфейса веб-приложений. Проведение исследований пользовательского опыта, внедрение полученных знаний в дизайн. Работа над улучшением...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83539016
UX-UI дизайнер мобильного приложения,,Астана,Locagroup,18-07-2023,"Опыт работы в области графического дизайна и UI/UX дизайна. Уверенное владение инструментами дизайна, такими как Adobe Creative Suite (Photoshop...","Разработка пользовательских интерфейсов (UI) мобильных приложений и других цифровых продуктов, с учетом современных трендов и лучших практик UX/UI дизайна. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83632017
UX/UI дизайнер,,Алматы,Golden Bridge Partners,22-07-2023,"Опыт работы UX/<highlighttext>UI</highlighttext> <highlighttext>дизайнером</highlighttext> с реализованными проектами (сложные интерфейсы взаимодействия web/mobile будет плюсом). Умение доносить идею, отстаивать свою...",Adobe Photoshop. Adobe Illustrator. Figma. Usability. Графический дизайн. Проектирование пользовательских интерфейсов. Дизайн интерфейсов. Web-дизайн. UX/UI.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83675607
UX/UI-дизайнер,,Астана,Апару,05-07-2023,,"Разработка интерфейсов, которые превосходят все ожидания пользователей. До встречи!",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83007226
UX/UI Дизайнер,350000 - 500000 KZT,Алматы,ТРАНСЛАЙН,24-07-2023,"Портфолио. Опыт от 1-го года. Figma, Photoshop. Понимание работы Front-End части. Будет плюсом: Профильное образование в части дизайна...",Разработка макетов на Figma. Улучшение user experience от наших услуг. Разработка дизайн кода. Создание UI Kit. Обсуждение юзабилити сайта и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83935220
UX/UI designer,,Алматы,Международная беттинг компания Parimatch (ТОО БК PM Бет),24-07-2023,Релевантный коммерческий опыт от 2-х лет. Свободное владение Figma. Знание принципов Usability. Реальный опыт разработки адаптивного дизайна. ,Дизайн сайтов под различные проекты компании. Дизайн промо-лендингов. Разработка дизайна пользовательских интерфейсов в соответствии с дизайн-системой для продукта...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83616464
UI/UX Дизайнер,,Алматы,IDOCSKZ,12-07-2023,Уверенное владение Figma. Опыт работы в команде с разработчиками. Опыт в дизайне мобильных приложений. Знания в Google material и Apple...,"Отвечать за пользовательский интерфейс и его архитектуру. Взаимодействие, исследования пользователей и визуальный дизайн на разных платформах. Определение целевой аудитории продукта...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83334148
UI/UX desıgner,,Астана,АДмастерс,19-07-2023,"Опыт проектирования мобильных приложений и сайтов. - Уверенное использование Figma. - Понимание концепции Pixel Perfect, основ HTML / CSS. - Знание гайдлайнов iOS и...",Экосистема TrustMe находится в поиске Frontend-разработчика. - Анализ целевой аудитории платформы и мобильного приложения. - Выработка рекомендаций к UX на основании...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83659598
Дизайнер UI/UX,,Алматы,"Bank RBK, АО",30-06-2023,"Понимание принципов UI/UX. Опыт работы не менее 1 года в должности дизайнера UI/UX с портфолио, демонстрирующим реализованные проекты. ","Разработка концепций UI/UX в соответствии с бизнес-требованиями. Дизайн и планирование разделов, функций и отдельных экранов для приложений и...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82821055
Ux/ui дизайнер,300000 KZT,Алматы,PAYDA Accounting Development (ПАЙДА Аккаунтинг Девелопмент),24-07-2023,Опыт проектирования мобильных приложений и сайтов. Уверенное использование Figma. Знание гайдлайнов iOS и Android. Понимание принципов адаптивного дизайна. ,Анализ целевой аудитории платформы и мобильного приложения. Выработка рекомендаций к UX на основании построенных CJM c последующей доработкой. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83312622
