title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Инженер DevOps Департамента «Открытых данных и интеграционных сервисов»,,Астана,Национальные информационные технологии,21-07-2023,Высшее образование в сфере информационных технологии или вычислительной техники и программного обеспечения. Опыт работы Devops не менее 3 лет. ,Сопровождение и развитие текущей платформы.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83817804
DevOps Engineer,,Алматы,Green Code,21-07-2023,"Релоцируем, если будет желание.",Настройку систем мониторинга и прогона анализаторов проекта в CI. Настройку Grafana и интеграцию с различными системами мониторинга. Настройка Kibana под...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83791060
DevOps-инженер (Junior),,Астана,ProPeople Global,14-07-2023,"Знание и понимание ОС Linux (Ubuntu, Amazon Linux). Знание и опыт работы с кластерами Kubernetes. Знание технологий контейнеризации docker/containerd. ",Координация команд разработки для сборки и доставки релизов. Техническое проведение релизов. Настройка тестового окружения и поддержание его в актуальном состоянии. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83417895
Devops - инженер (системный администратор),900000 KZT,Астана,Job Recruitment,10-07-2023,"В чем надо разбираться и уметь like a pro: - Ansible. - Kubernetes (мы используем managed, doctl): ingress, pvc, lb, secrets, config...","CI/CD (Gitlab). - Elastic/Fluentd. - Nginx (standalone / ingress controller) + Certbot. - Docker. - VPN (OpenVPN, StrongSwan, netmaker). - MySQL (replication, backup/restore).",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83239455
DevOps-инженер,,Алматы,Crystal Spring,19-07-2023,Опыт работы Devops не менее 3 лет. Знание и понимание ОС Linux/Windows. Знание технологий контейнеризации docker/container. ,"Администрирование серверов Linux (Almalinux)/Windows Server. Развертывания миникластера Kubernetes на bare metal серверах с высокой доступностью, безопасностью и масштабируемостью. ",,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83695078
DevOps Engineer,,Астана,ALLUR AUTO,17-07-2023,Опыт работы Devops не менее 3 лет. Знание и понимание ОС Linux/Windows. Знание технологий контейнеризации docker/container. ,"Администрирование серверов Linux (Almalinux)/Windows Server. Развертывания миникластера Kubernetes на bare metal серверах с высокой доступностью, безопасностью и масштабируемостью. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83554763
DevOps инженер (удаленно),,Астана,Частная компания Retail Robotics Solutions - R&D Ltd.,11-07-2023,"глубокое знание сетевых технологий, знакомство с VyOS или подобными системами, знакомство с WireGuard. - опыт с контейнеризацией приложений, уверенное знание docker. - ",разработка и поддержка продукта компании в Azure DevOps. - разработка и внедрение пайплайнов CI/CD. - автоматизировать конфигурации на хостах с использованием...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83284215
DevOps-инженер,,Астана,ProPeople Global,19-07-2023,"Знание и понимание ОС Linux (Ubuntu, Amazon Linux). Знание и опыт работы с кластерами Kubernetes. Знание технологий контейнеризации docker/containerd. ",Координация команд разработки для сборки и доставки релизов. Техническое проведение релизов. Настройка тестового окружения и поддержание его в актуальном состоянии. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83674814
DevOps-инженер,,Астана,Центр электронных финансов,22-07-2023,,Администрирование серверов linux/unix. Администрирование кластера kubernetes. Настройка CI/ CD. Резервное копирование. Устранение уязвимостей ИБ.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83366550
DevOps engineer,,Астана,АДмастерс,19-07-2023,Дать возможность разработчикам писать код и не думать про доставку его на сервер. -Новые знания и сильное окружение. ,"Автоматизировать типизированные сборки, тестирование, выкладку. Продумывать уникальные сценарии сборки и доставки проектов. Настройка мониторинга серверов и сервисов, сбора логов. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83667123
