title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR менеджер,500000 - 800000 KZT,Астана,КФ Инвест групп,21-07-2023,Высшее/средне-спец. образование. Опыт работы и от 3-х лет. Знание основ психологии и социологии. Навыки работы с кадровой...,Формирование кадровой политики компании. Подбор в соответствии с кадровой политикой. Разработка и применение на практике системы обучения для сотрудников (тренинги...,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83789040
HR менеджер,200000 - 400000 KZT,Алматы,УРАЛ НУРТАУ ПРОИЗВОДСТВО,30-06-2023,Инициативность и любовь к своему делу. Устойчивый рост и прогрессивное мышление. Позитивный настрой в любой ситуации.,"Кадровое делопроизводство (прием/увольнение/перемещение/отпуска/больничные/командировочные). Формирование и ведение личных дел, трудовых книжек работников. Ведение воинского учета в...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82819038
HR менеджер,300000 KZT,Кокшетау,Каиржанов А.С.,19-07-2023,Опыт работы обязателен.,Подбор персонала. Ввод в работу новых сотрудников. Развитие персонала (организация обучения и мероприятий). Управление делами кадров.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83674935
HR менеджер / кадровик в одном лице,400000 - 400000 KZT,Алматы,ТЕХКОЛОР АЗИЯ,23-07-2023,"Опыт работы от 3х и более лет Кадрового специалиста. Знание методов подбора персонала, прием, увольнение, перевод, составление доп.соглашений, внесение...","Подбор персонала. Адаптация новых сотрудников. Ведение КДП. Разработка нормативных документов. Ведение Енбек.кз, военный учет. Участие в обучении и развитии персонала. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83725483
HR менеджер,450000 - 450000 KZT,Алматы,Iteca,17-07-2023,Требуемый опыт работы на аналогичной позиции не менее 1-го года.,Рекрутинг. Найм и отбор персонала. Адаптация персонала. Оценка персонала. Кадровый документооборот. Мотивация персонала. Организация обучения сотрудников.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83535666
HR-менеджер,,Астана,Мой дом MWC,24-07-2023,Опыт работы в должности HRM от 3 лет и более. Высшее образование. Навык проведения интервью по компетенциям. Навык внедрения процессов...,Контроль и координация HR бизнес-процессов в Компании. Подбор персонала. Адаптация сотрудников. Разработка и внедрение системы обучения и развития персонала. ,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83923110
HR менеджер,700000 KZT,Алматы,БАЙТЕЛЕСОВА В.В. «HOME LIGHT»,22-07-2023,Ответственность. Вовлеченность. Дружелюбие.,Находить сотрудников в агентство недвижимости. Вовлекать в жизнь компании и работать с людьми. Реализация индивидуальных планов сотрудников и повышение их...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83694842
Руководитель HR-проектов,,Алматы,ONLINE HUB KAZAKHSTAN,19-07-2023,"Опыт работы в сфере HR не менее 3 лет. Высшее образование, желательно специализация или переподготовка в HR. Практический опыт работы...","Построение и управление всех HR-процессов: поиска и подбора, адаптации, мотивации, оценки, развития персонала. Разработка эффективной HR стратегии и ее...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83704601
HR менеджер / Руководитель управления персоналом,,Алматы,Дастархан-консалтинг,09-07-2023,"Высшее/средне-специальное образование (желательно в области менеджмента, экономическое, юридическое и/или психологическое), а также опыт работы от трех лет.","Подбор персонала (найм, адаптация). Ведение учета личного состава Компании. Оформление различных кадровых операций (прием, перевод, увольнение). Оформление и ведение личных...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83180394
HR менеджер по подбору персонала в сфере общепита,800000 KZT,Астана,LF Group,22-07-2023,"Знание Excel, Microsoft Office, Word и т.п. Умение общаться с людьми, желание искать и находить оптимальные решения, аналитический склад...",Опыт не менее 3 лет ( опыт работы HR в сфере общепита будет преимуществом). Внедрение кейсов. Нацеленность на результат. Активный найм. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83681116
HR менеджер,200000 - 300000 KZT,Караганда,Servis KZ,13-07-2023,Опыт в подборе персонала приветствуется. Хорошие коммуникативные навыки. Знание этапов и технологий поиска и подбора персонала. Уверенный пользователь ПК. ,"Поиск и подбор персонала. Написание, размещение и сопровождение вакансии. Сотрудничество с вузами в целях привлечения начинающих специалистов. Взаимодействие с руководством...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83368223
HR менеджер,400000 - 500000 KZT,Алматы,Серик,20-07-2023,Высшее образование (желательно психологическое). Опыт работы в качестве <highlighttext>HR</highlighttext> <highlighttext>менеджера</highlighttext> от 3-х лет. Опыт ведения полного цикла рекрутинга. ,"Приём заявок на поиск и подбор персонала. Проведение индивидуальных собеседований. Составление описаний вакансий, формулировка требований к кандидатам. Работа с поступающими...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83757363
