title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Специалист по IT (IT specialist),,Уральск,NOVATEQ-GROUP,21-07-2023,"Опыт работы в серьезных компаниях с локальной сетью, сервером, облачным хранилищем, лицензируемым ПО, CRM, 1С и т.д. ","Обслуживание ПК и офисной техники, замена комплектующих. Установка, настройка различного программного обеспечения. Ответственность за информационную безопасность в компании. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83792434
Специалист по IT,450000 KZT,Алматы,Estate Management Company,20-07-2023,Высшее образование. Опыт установки и обслуживания компьютерных систем. Способность самостоятельно принимать решения. Высокая работоспособность.,Выявление потребности структурных подразделений в ИТ-услугах. Консультационная поддержка пользователей ИТ-услуг по вопросам работы информационных систем. Оперативное решение инцидентов...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83761893
Специалист по информационным технологиям (IT),400000 - 450000 KZT,Алматы,DBA UrAsia Energy Holdings Ltd – Kazakhstan Branch,18-07-2023,"Высшее техническое образование. Знание основных принципов построения сетей передачи данных. Опыт работы с серверным оборудованием. Быстрая обучаемость, ответственность, пунктуальность, исполнительность. ","Консультирование по техническим вопросам. Работа с техническими <highlighttext>специалистами</highlighttext> производителей. Поддержка и развитие информационной платформы. Решение проблем пользователей, оказание помощи. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83589248
Специалист IT отдела,400000 - 450000 KZT,Алматы,"Home Mart (EurasiaRed, ТМ)",22-07-2023,"Высшее техническое образование. Опыт работы в сфере IT, наличие навыков менеджера. Знание английского языка приветствуется. Знание основных принципов построения сетей...",Консультирование по техническим вопросам. Работа с техническими <highlighttext>специалистами</highlighttext> производителей. Поддержка и развитие информационной платформы. Мониторинг и анализ рынка и особенностей...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83387677
Технический специалист (IT),200000 - 300000 KZT,Алматы,Sulpak,29-06-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82722181
IT-специалист / Помощник системного администратора,120000 - 140000 KZT,Алматы,ЮНИКС,18-07-2023,"Основные требования - это желание работать, получать опыт и знания и умение гуглить.","Начальный уровень. Осуществление решений инцидентов и проблем, возникающих в процессе работы информационных систем. Восстановление работоспособности информационных систем в случае сбоя...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83593170
CRM administrator/IT специалист,250000 KZT,Актобе,LONDON-EC,21-07-2023,"E ще и эмоциональный, позитивный и умеешь располагать к себе людей и убеждать. L юбишь жизнь, и знаешь, что тебе...",,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83806293
Специалист по IT,320000 - 320000 KZT,Караганда,Альянс Уголь,24-07-2023,"2.6. Разрешает или ограничивает доступ к информации, определяет порядок и условия такого доступа. Обязательно с опытом работы, высшее образование. ","2.1. Обеспечивает достоверность, защиту информации и своевременность ее предоставления. 2.2. Осуществляет установку, настройку, техническое сопровождение и обслуживание оборудования...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83908163
IT Specialist,450000 - 600000 KZT,Алматы,KT&G GLOBAL KAZAKHSTAN (КЕЙ-ТИ-ЭНД-ДЖИ ГЛОБАЛ КАЗАХСТАН),19-07-2023,"1. Data Management capabilities. - Data analysis capabilities using SQL, Excel, etc. - Master Data control capability, (Dimension, measure, analytic information generation...","Management capabilities such as preventing leakage of company core information- Security system management and improvement (Policy, Process, System). - ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83659539
Специалист по IT,250000 - 500000 KZT,Астана,TapTatti Retail,13-07-2023,"Умение установки операционные системы. Знание программы IIKO. Настройка и администрирование программу ""1C Предприятие"". Умение прикладного программирования. Пунктуальность.","Поддержание работоспособности офисных компьютеров. Администрирование и настройка 1С 8.2, 8.3. Поддержка пользователей. Установка и настройка прикладных программ. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81385728
Специалист по IT обслуживанию пользователей Офиса,,Астана,Nazarbayev University,17-07-2023,"Образование: высшее профессиональное, желательно в высших учебных заведениях с преподаванием на английском языке: Приоритетные направления специальностей: - компьютерные науки или смежные...",<highlighttext>Специалист</highlighttext> по IT обслуживанию пользователей Офиса по IT обслуживанию пользователей Информационных. Работа с аудиовизуальным и интерактивным оборудованием. Установка и проведение...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83520099
Специалист по IT,80000 - 150000 KZT,Петропавловск,КГУ ГОРОДСКАЯ КЛАССИЧЕСКАЯ ГИМНАЗИЯ ИМЕНИ САФУАНА ШАЙМЕРДЕНОВА КГУ ОТДЕЛ ОБРА-Я ГОРОДА ПЕТРОПАВЛОВСКА КГУ УПРАВ ОБРА-Я АКИМАТА СЕВ. КАЗ.ОБЛ,19-07-2023,Знание MS Office. Установка windows и работа с сайтами. - порядочный.,Ремонт компьютеров. Работа с компьютером.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83685994
Начинающий IT специалист в сфере 1С,150000 KZT,Астана,ИТС-ком,23-07-2023,Техническое образование - обязательно. Базовые знания в IT. Опыт работы с техникой. Грамотная речь. Готовность работать с Клиентами. Готовность много учиться...,"Установка, настройка программного обеспечения. Устранение проблем с ПО и оборудованием. Участие в сопровождении и внедрении продуктов. Оказание технической помощи действующим...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83523537
IT-специалист,200000 - 250000 KZT,Астана,PROTS,24-07-2023,Отличное знание компьютерной техники на программном и физическом уровне. Грамотная устная и письменная речь. Умение быстро вникать в суть и...,"Работа в ИС Трекере 100%. Умение разобрать ПК, Монблок, Ноутбук. Понимание принципа видеонаблюдения, видеорегистратора. Снять жесткий диск, материнскую плату, Оперативную...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83932755
IT специалист/системный администратор,,Алматы,RAMS QAZAQSTAN,19-07-2023,"Высшее техническое образование. Опыт работы в аналогичной должности от 1 года. Общие знания программных продуктов Microsoft Office 365, Windows 7...","Прием, регистрация и классификация обращений от сотрудников компании по их обращениям в ИТ отдел. Предоставление доступов сотрудникам компании к внутренней...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83683006
