title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Product manager,,Алматы,Samsung Electronics Central Eurasia LLP.,05-07-2023,"Analytical thinking. Conducting research, analysis and data collection has an understanding of consumption forecasting. Advanced user Excell & PowerPoint. ",Analyze the demand for all groups of goods and trends in its development. Investigate the factors affecting the sale of...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83024116
Product Manager по работе с китайскими поставщиками,2000 - 3000 USD,Астана,Hdcart PTE,17-07-2023,Обязателен опыт работы в закупках в FMCG в Китае: от 3 лет. Знание английского языка на уровень B2 (продвинутые...,"Работа с действующими поставщиками и поиск новых, в основном Китай - полный цикл взаимодействия: Поиск/выбор производителя/поставщика требуемой продукции. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83576004
Менеджер продукта/Product manager,500000 - 600000 KZT,Алматы,Astana-Plat,24-07-2023,Понимать базовые принципы разработки. Уметь управлять проектами. Планировать и расставлять приоритеты. Работать с аналитикой. Разбираться в исследованиях пользователей. ,Создание и реализация нового продукта согласно общему Road Map. Ведение проектов по «E-Commerce». Управление и развитие «Личный кабинет». ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83912225
Дизайнер цифрового продукта (Product Designer),,Алматы,Arbuz Group (Арбуз Груп),01-07-2023,"Опыт работы в компаниях, самостоятельно проектирующие и разрабатывающие ПО. Уметь разрабатывать и представлять детальный дизайн-макетов и прототипов в Figma...","Работать над дизайном и интерфейсом цифровых продуктов для интернета, Android и iOS. Создавать User flows, наглядно демонстрирующие путь пользователя на...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82870972
Product Manager (продакт менеджер),,Алматы,My Project,18-07-2023,"Хороший опыт работы в IT на позиции ""<highlighttext>Product</highlighttext> <highlighttext>Manager</highlighttext>"" не менее 3 лет. Хорошее понимание методов разработки IT продуктов. ","Проводить исследования, эксперименты и анализировать данные. Анализировать рынок и конкурентов. Менять продукт для пользователей на основе результатов исследований. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83622519
Brand / Product manager,800000 - 1200000 KZT,Алматы,Sherlock,21-07-2023,Имеет опыт работы на позиции Brand / <highlighttext>Product</highlighttext> <highlighttext>manager</highlighttext> в системной международной компании от 2 лет. Обладает стратегическим и масштабным мышлением...,"Разработка стратегии позиционирования в рамках общей стратегии бренда, а также обеспечивание ее реализации. Управление ассортиментом: анализ (BCG матрица, ABC анализ...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83814451
Менеджер продуктов / Product Manager / Project Manager,300000 - 500000 KZT,Петропавловск,WBS,13-07-2023,"Навыки калькуляции стоимости проектов. Способность вникнуть в суть проекта, разложить проект на блоки и определить этапы разработки. Опыт написания технических...","Ведение переговоров, встреч с клиентами и заказчиками. Создание и согласования концепций продуктов с клиентами. Артикуляция и согласование функциональных требований к...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83364905
Electronic Logbook Administrator in Production Operations,,Атырау,Air Energi Caspian LLP trading as Airswift,20-07-2023,"Higher Education Degree in IT field. At least 3 years of IT experience or in educational institutions, or certified qualification...","Implementation of administration and technical support of an electronic application for shift handover in Production Operations department. Collect, analyze data...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83770314
Менеджер по работе с ключевыми клиентами (Consumer Products Division),,Алматы,Лореаль Казахстан,13-07-2023,Релевантный опыт. Развитые переговорные и аналитические навыки. Ориентированность на результат.,Разработка и реализация стратегии развития бизнеса региона с учетом приоритетов по каналам продаж и категориям продуктов. Контроль соответствия плана промо...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83368177
Product Owner,,Алматы,Ridex GmbH,06-07-2023,"At least 3 years of <highlighttext>Product</highlighttext> <highlighttext>management</highlighttext> experience in Contact Center Domain including developing and launching <highlighttext>products</highlighttext>, <highlighttext>managing</highlighttext> <highlighttext>product</highlighttext> roadmaps...","You will <highlighttext>manage</highlighttext> <highlighttext>product</highlighttext> launches and releases, ensuring that all stakeholders are informed and prepared, and that the release goes...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81804599
Production Planning Supervisor,,Алматы,АО ИП Эфес Казахстан,19-07-2023,"Высшее образование. Опыт прогнозирования, желательно на производстве. Умение работать с большими объёмами данных. Опыт в стратегическом прогнозировании (бюджет), высокие аналитические...",Контролировать процесс планирования по производству и прогнозированию на короткий период (ежедневно и еженедельно). Составлять бюджет и стратегический 5-летний план...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83659989
Distributor Development Manager (Consumer Products Division),,Алматы,Лореаль Казахстан,20-07-2023,Наличие соответствующего опыта работы. Знание английского языка.,"Управление отделом по развитию дистрибьюции (работа с командой). Ответственность за развитие деловых, партнерских отношений с дистрибьюторами. Реализация совместного планирования закупок...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83736572
Помощник менеджера по продукту / Junior product manager (стажёр),,Алматы,Unicorn Tech Oy,10-07-2023,Требуемый опыт работы: не требуется. — навык презентации себя и проекта перед инвесторами.,Находить конкурентов и делать конкурентный анализ. Подготавливать аналитические отчеты. Делать презентации и выступать на публике. Анализировать рынок. Организовывать и проводить...,,Нет опыта,Стажировка,https://hh.ru/vacancy/83186590
Product manager медицинских IT проектов,,Астана,iDala,26-06-2023,"В своей работе мы стараемся использовать самые инновационные средства, подходы и методики, постоянно развиваемся, быстро принимаем решения и никогда не...","В 2020 году была основана фирма iDala (Астана, Казахстан) по разработке и созданию оригинальных IT решений (стартапов) преимущественно в области...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82384126
Product Manager,2500 - 3500 USD,Алматы,RapidSeedbox,23-07-2023,"Technical/Product skills, or more specifically: At least 3 years of applied knowledge in being a <highlighttext>product</highlighttext> <highlighttext>manager</highlighttext>. ",We are on a mission to provide more online anonymity to people worldwide. Join us on the journey! ︎ SaaS Company. ︎ ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83304130
Product manager,,Алматы,Home Credit Bank,12-07-2023,...английского языка выше среднего. Имеешь опыт работы на позиции project / <highlighttext>product</highlighttext> <highlighttext>manager</highlighttext> от 2-ух лет. Знаешь принципы <highlighttext>Product</highlighttext> <highlighttext>management</highlighttext>.,"Управлять продуктом по стратегическому партнерству - работа по модели BaaS. Управлять клиентским опытом, создание СJM (изучение потребностей клиента). Моделировать и улучшать...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83312438
