title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Веб-разработчик,180000 KZT,Астана,Кан О.В.,23-07-2023,Опыт работы в разработке веб-сайтов с использованием Tilda. Знание основных принципов и возможностей платформы Tilda. Умение создавать адаптивные и...,Разработка веб сайтов. Настройка контекстной рекламы.,,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83900661
Программист (Удаленно),300 - 300 USD,Костанай,Ингстем-Казахстан,18-07-2023,"Вы не имеете коммерческого опыта в разработке, но программируете для себя и/или имеете учебный опыт в языке С. ","Отладка и исправление багов серверного сетевого программного обеспечения (tcpdump, ss, анализ дампа ядра). Разработка и поддержка программного обеспечения, использующего сетевые...",,Нет опыта,Стажировка,https://hh.ru/vacancy/83641570
Программист-разработчик (на практику и трудоустройство),,Костанай,Бақ-ЛИЧ,18-07-2023,"Обзорное понимание объектно-ориентированных языков программирования (любого). Рассмотрим варианты, для адаптации ваших знаний под наши проекты.",,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83585367
Java Junior Developer,,Алматы,Kcell,24-07-2023,"Опыт разработки на Java не менее 1 года, опыт работы со Spring обязателен. Знание принципов ООП, SOLID, паттернов проектирования. ",Разработка и настройка ПО для интеграционных сервисов на основе микросервисной архитектуры. Создание новых систем и рефакторинг существующих систем. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83910044
Web-программист - стажер,,Алматы,Autodata,11-07-2023,Основы программирования HTML&CSS. Базовые понимания в javascript. Теорию работы больших систем. Как поменять значения двух переменных не используя третью...,"Разрабатывать фронтенд веб приложений на ReactJs, React Native и VueJs. Понимать, как устроен RESTfull API, его правильное проектирование и разработка. ",,Нет опыта,Стажировка,https://hh.ru/vacancy/83285184
Frontend-разработчик (React),220000 - 300000 KZT,Караганда,КОЛБОТ,19-07-2023,Отличные знания JavaScript. Опыт работы с React. Понимание современного стека web-разработки. Готовность работать в распределенной команде.,Разрабатывать клиентские и внутренние интерфейсы. Участвовать в командной разработке.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83675185
"Frontend разработчик, React, Flutter",,Алматы,СК Jusan Garant,24-07-2023,Опыт работы в качестве Frontend-разработчика от 2-х лет. Отличные знания JavaScript / TypeScript / HTML / CSS / Dart. Опыт работы с...,"Поддержка работы сайта и мобильного приложения. Разработка нового функционала, доработки имеющегося. Анализ кода и рефакторинг. Сотрудничество с подразделениями. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83912456
Инженер-программист (системный администратор),290000 - 290000 RUR,Петропавловск,ЛПДС «Петропавловск» филиал АО «Транснефть-Урал»,19-07-2023,Высшее профессиональное образование в области IT и связи или среднее профессиональное со стажем работы не менее 3-х лет. Исполнительность. ,"Внедрение, сопровождение и сервисное обслуживание вычислительной техники. Контроль за работоспособностью подсистем ЛВС и средств копировальной техники, в случае выхода из...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83658641
Frontend-разработчик,100000 - 300000 KZT,Алматы,MBS Trade,20-07-2023,"Знание HTML5, CSS, TypeScript, TailwindCSS. Опыт работы с Rest API. Знание фреймворка Vue3.js.",Верстка по макету Figma. Участия в обсуждении процессов разработки. Оптимизация и расширение функционала имеющегося кода.,,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83759646
Веб-разработчик/Web-программист/Front End developer,100000 - 250000 KZT,Астана,ABC Design,19-07-2023,"Обязательное знание: HTML, CSS, JS, PHP. Обязательное знание CMS: October Cms, OpenCart, Joomla, Bitrix CMS. Обязательное framework: Laravel. ",,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83657720
Верстальщик (Фронтенд) разработчик,150000 - 500000 KZT,Алматы,Roboto,06-07-2023,Умение создавать адаптивную верстку. Взаимодействие с UI/UX-дизайнерами. Умение работать в команде. Ответственный за свою работу. Писать читабельный и...,Верстка макета по дизайну.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83065525
Junior Frontend Developer,200000 KZT,Караганда,WOOPPAY,20-07-2023,"Свободное владение HTML/CSS. Владение инструментами контроля версий Git, GitLab. Знание адаптивной вёрстки. Уверенное владение Javascript и jQuery. ",Разработка веб-приложений. Исправление багов. Сопровождение и рефакторинг существующих проектов. Написание авто тестов.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83768656
Backend-разработчик,200000 - 300000 KZT,Алматы,Qamqor Kazakhstan,20-07-2023,Самостоятельная разработка любого сервиса или приложения с нуля. Знание технических рисков и умение заранее их прогнозировать и снижать. ,Разработка новых микросервисов (приложений) и развитие/рефакторинг существующих на Spring Boot. Конфигурирование баз данных под потребности проекта. Написание чистого и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83740113
