title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
QA инженер,,Алматы,Jusan Invest,10-07-2023,"Опыт работы от 3-х лет. Навыки: selenium, sql, Jira, git, postman.","Рецензирование спецификаций и технических заданий. Разработка и актуализация тестовой документации: планов тестирования, тестовых вариантов, чек-листов, и др. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83194633
QA Engineer (Console),,Алматы,Gaijin Games,21-07-2023,"коммерческий опыт работы в мануальном тестировании от 1 года. — опыт тестирования игровых проектов на консолях (PS, Xbox). — опыт работы с...","Gaijin разрабатывает онлайн-игры класса AAA для ПК, консолей и мобильных платформ, включая популярные MMO «War Thunder», «Enlisted» и другие...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83646317
QA Engineer (Console),,Астана,Gaijin Games,21-07-2023,"коммерческий опыт работы в мануальном тестировании от 1 года. — опыт тестирования игровых проектов на консолях (PS, Xbox). — опыт работы с...","Gaijin разрабатывает онлайн-игры класса AAA для ПК, консолей и мобильных платформ, включая популярные MMO «War Thunder», «Enlisted» и другие...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83646318
QA-инженер,200000 - 400000 KZT,Алматы,NiDGE,21-07-2023,"Опыт работы с СУБД (любой, например Postgre SQL). Знание SQL на уровне написания среднего уровня запросов (способность получить любые сведения...","Критическое и аналитическое осмысление сценариев и тестовых примеров, экспериментирование, чтобы найти те, которые лучше всего подходят для имеющегося продукта, следует...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83803411
QA Engineer,,Алматы,ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE,04-07-2023,"Опыт работы в области автоматизации тестирования программного обеспечения: от одного года, знание библиотек Selenium, Pytest, фреймворка Appium. Знание методологий тестирования. ","Способность анализировать требования к программному обеспечению, создавать. Тестовые случаи и проводить тестирование с целью обнаружения дефектов и ошибок. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82945596
QA engineer,,Астана,ProPeople Global,21-07-2023,"Понимание микросервисной архитектуры. Знание и применение на практике, основ и принципов проведения тестирования веб-приложений. Знание популярных веб-технологий и...","Подготовка протоколов тестирования, актуализация тестовой документации, чек листов. Автоматизация процесса обеспечения качества на проекте. Участие на всех этапах разработки ПО...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83791091
QA Engineer (Junior),,Алматы,Gaijin Games,21-07-2023,"опыт тестирования игровых проектов. — знание систем баг-трекинга (Bugzilla, Jira, Mantis, Redmine). — понимание инструментов, методов и средств тестирования. — ","Gaijin разрабатывает онлайн-игры класса AAA для ПК, консолей и мобильных платформ, включая популярные MMO «War Thunder», «Enlisted» и другие...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81434082
Junior QA Engineer,,Астана,G5EN KAZ,11-07-2023,,Charitable activities: you can initiate your own project with the company's support or participate in G5 Charity events. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83305661
Тестировщик / QA Инженер,,Алматы,Home Credit Bank,10-07-2023,Имеешь опыт работы в должности <highlighttext>QA</highlighttext> <highlighttext>инженера</highlighttext>. Имеешь знание баз данных и языка запросов SQL. Понимаешь принципов работы систем управления...,"Составление тест-кейсов и тест сценариев. Проведение модульного, интеграционного, нагрузочного, регрессионного тестирования. Автоматизация тестирования. Внесение предложений по улучшению методологии и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83217231
QA engineer,,Алматы,Банк ЦентрКредит,14-07-2023,"Опыт в менторстве будет плюсом. Опыт работы в качестве <highlighttext>QA</highlighttext> <highlighttext>инженера</highlighttext>, <highlighttext>специалиста</highlighttext> <highlighttext>по</highlighttext> <highlighttext>тестированию</highlighttext>. Структурированное мышление и высокий уровень организованности.",Функциональное тестирование web и мобильного приложения. Контроль качества разрабатываемых продуктов. Участие в процессе обеспечения регулярной поставки релизов и продуктов в...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83446445
