title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Специалист по подбору персонала/Рекрутер,,Алматы,"AIR ASTANA, АО",24-07-2023,"Образование: высшее. Опыт работы в качестве специалиста по подбору персонала – от 2-х лет. Знание языков: Русский – свободно, Английский – Upper...","Осуществлять поиск, проверку и набор кандидатов на различные должности в компании. Определение необходимых для подбора инструментов оценки, исходя из профиля...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83915681
HR менеджер по подбору персонала в сфере общепита,800000 KZT,Астана,LF Group,22-07-2023,"Знание Excel, Microsoft Office, Word и т.п. Умение общаться с людьми, желание искать и находить оптимальные решения, аналитический склад...",Опыт не менее 3 лет ( опыт работы HR в сфере общепита будет преимуществом). Внедрение кейсов. Нацеленность на результат. Активный найм. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83681116
Рекрутер (удаленно),300000 - 350000 KZT,Алматы,Jet Sharing,12-07-2023,"Нужен наиболее дисциплинированный и самостоятельный работник. - Опыт работы обязателен, без опыта не рассматриваем. - Быстрообучаемость и стремление к развитию. - ","Размещение вакансий в различных источниках (подготовка самой вакансии, профиля должности, взаимодействие с руководителями отделов по вакансии). - Проведение телефонных интервью, участие...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82819594
Ассистент менеджера по подбору персонала,150000 - 250000 KZT,Шымкент,МК Эксперт,24-07-2023,Коммуникабельность. Желание расти и развиваться в сфере HR.,Проведение личных собеседований. Общение с кандидатами по телефонной связи. Ведение отчётности в таблицах Excel/Google.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83924462
Recruitment Specialist / Специалист по подбору персонала (Атырау/Астана/Алматы),,Атырау,Стамгазстрой,20-07-2023,Высшее образование. Стаж работы не менее 3 лет. Желательно знание английского языка.,"Проводит регулярный анализ процесса отбора персонала, разрабатывает и подготавливает предложения по оптимизации системы и процесса отбора. Консультирует кандидатов, руководителей нанимаемых...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83728154
Рекрутер,180000 - 200000 KZT,Алматы,12 месяцев,19-07-2023,"Обучаемость. Готовность работать в режиме многозадачности, целеустремленность, коммуникабельность. Нацеленность на результат. Умение работать в команде. Ответственность. Грамотная речь.","Поиск и подбор персонала на открытые вакансии. Оперативное решение всех вопросов в процессе рекрутмента. Предварительный отбор кандидатов по резюме, телефонные...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83008237
Менеджер по подбору персонала,250000 KZT,Алматы,INVITRO (ТОО ИНВИТРО-Казахстан),12-07-2023,Высшее образование. Опыт работы в аналогичной должности будет преимуществом. Ориентация на результат и умение работать в многозадачном режиме. ,"Активный поиск и подбор персонала (в т.ч. массовый подбор). Проведение собеседований и тестирование кандидатов, оценка профессиональных и личностных качеств...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83323506
Рекрутер,250000 - 350000 KZT,Алматы,HAIM GROUP (ХАЙМ ГРУПП),22-07-2023,"Опыт в рекрутинге от трех месяцев обязателен. Необходимо совершать от 60 звонков в день. Грамотно поставленная речь (русский - обязателен, казахский...",Активный поиск и отбор кандидатов на массовые позиции. Формирование базы данных. Проведение первичного телефонного интервью. Ведение ежедневной отчетности.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83668200
Рекрутер,350000 - 600000 KZT,Астана,EASYCOMPANY.KZ,28-06-2023,"В СВОЕЙ КОМАНДЕ МЫ ХОТИМ ВИДЕТЬ ЧЕЛОВЕКА: -Амбициозного, с жгучим желанием построить что-то крутое и масштабное. -С опытом и...",,,Нет опыта,Полная занятость,https://hh.ru/vacancy/82611268
Специалист по подбору персонала,200000 - 500000 KZT,Уральск,Workle Pro,25-06-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82371234
Специалист по подбору персонала,200000 - 500000 KZT,Павлодар,Workle Pro,25-06-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82371118
Специалист по подбору персонала,200000 - 500000 KZT,Атырау,Workle Pro,25-06-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82371117
HR Intern (Recruitment and HR Compliance),,Алматы,PricewaterhouseCoopers,20-07-2023,"High education. Previous work experience in Human Resource area is an advantage. Excellent communication and organizational skills. Team player, result...",Participation in all external and internal recruitment events. Collaboration with the universities. Initiating and monitoring the advertising process. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83736179
HR bp/Рекрутер (удаленная работа),150000 - 350000 KZT,Алматы,Online medics,06-07-2023,Знать казахский и русский язык на уровне носителя. Быть опытным пользователем ПО и онлайн-ресурсов. Обладать опытом работы от 1...,"Поиск сотрудников и мед.персонала во всех уголках страны. Проведение собеседовании, найм. Оформление медиков в партнеры компании. Контроль активности в работе. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83077823
HR-менеджер / Специалист по подбору персонала,450000 - 600000 KZT,Шымкент,Агротоп,21-07-2023,"Энергичный человек, который умеет доводить дела до конца. Опытный HR, который работал в этой сфере не менее 5 лет. ",Разработка и реализация HR стратегии компании соответствующий бизнес-целям компании. Организация и проведение процесса подбора персонала. Разработка и внедрение системы...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83614587
Специалист по подбору персонала /Рекрутер в удаленном формате,300000 - 600000 KZT,Алматы,TMT INC,21-07-2023,,,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82552928
Специалист по подбору персонала,200000 - 500000 KZT,Тараз,Workle Pro,25-06-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82371113
Рекрутер,,Алматы,"РТС Деко, АО",18-07-2023,"Знание основных источников поиска и подбора персонала. Уверенный пользователь ПК. Английский будет плюсом. Грамотная речь, высокая обучаемость, внимательность, энергичность, инициативность...","Активный поиск и отбор кандидатов на различные позиции. Формирование базы данных кандидатов. Проведение телефонного/очного интервью,тестирование кандидатов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83222198
Recruitment Specialist / Специалист по подбору персонала (Атырау/Астана/Алматы),,Астана,Стамгазстрой,20-07-2023,Высшее образование. Стаж работы не менее 3 лет. Желательно знание английского языка.,"Проводит регулярный анализ процесса отбора персонала, разрабатывает и подготавливает предложения по оптимизации системы и процесса отбора. Консультирует кандидатов, руководителей нанимаемых...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83728152
Рекрутер / Специалист по подбору персонала на массовый подбор (удаленно),150000 - 400000 KZT,Алматы,Кайф Групп,17-07-2023,"Опыт работы в подборе персонала или в общении с клиентами - будет преимуществом.  Инициативность, знания, как расставлять приоритеты.  Устная грамотная речь.  ","Заниматься поиском персонала для отделов по работе с клиентами. ️ Проводить телефонные и видео интервью, оценивать кандидата. ️ Сопровождать кандидата до момента...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83550871
Специалист по подбору персонала,200000 - 500000 KZT,Астана,Workle Pro,25-06-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82371233
Специалист по подбору персонала,200000 - 500000 KZT,Семей,Workle Pro,25-06-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/82371112
Рекрутер,220000 KZT,Караганда,Flip.kz,24-07-2023,"Опыт работы в рекрутинге не менее 1 года. Понимание сути должности и процесса описания вакансии. Знание каналов поиска, их эффективности...","Размещение/постинг вакансий на различных ресурсах. Активный поиск, отбор и оценка кандидатов. Ведение переговоров с кандидатами, проведение собеседований. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83694403
Рекрутер,150000 - 500000 KZT,Алматы,Нурали Анель,05-07-2023,"Какие задачи ты будешь выполнять? Из опыта работы ты уже знаешь, что не бывает идеальных соискателей, как и идеальных работодателей...","Качественный подбор сотрудников. Написание текста вакансии. Сопровождение кандидата до подписания договора. Анализ рынка, составление портрета кандидата. Проведение телефонных интервью и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83031017
