title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Разработчик программного обеспечения Java,,Алматы,"Филиал Nuctech Co.,Ltd in the AIFC",17-07-2023,"Общие навыки: 1. Иметь хорошие навыки кодирования, иметь навыки написании документов по функциям модульного проектирования, владеть инструментами контроля (SVN, Git...","Сотрудничать с китайскими <highlighttext>инженерами</highlighttext>-программистами в разработке <highlighttext>программного</highlighttext> <highlighttext>обеспечения</highlighttext>. 2. Отвечать за разработку, отладку и тестирование <highlighttext>программного</highlighttext> <highlighttext>обеспечения</highlighttext> компании. 3. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83518409
Software Engineer (Customer Process Management),,Алматы,Kaspi.kz,24-07-2023,"Знание языка запросов SQL. Опыт работы с одной из СУБД: Oracle, MySQL, PostgreSQL, Redis. Опыт работы на любом языке программирования...",Настройка бизнес-процессов с помощью low-code инструмента. Построение и развитие архитектуры информационных систем и БД. Написание оптимизированных запросов SQL. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83935853
Lead Embedded Software Engineer,,Алматы,Муратов Д.М,20-07-2023,"A Master's or Bachelor's in Electrical <highlighttext>Engineering</highlighttext>, Embedded Systems, Computer Science, or equivalent. At least 3-5+...","Building and leading the embedded <highlighttext>software</highlighttext> development. Testing and debugging the program of various components like Motor controllers, ECU (Electronic...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83736746
Software Engineer,,Алматы,Home Credit Bank,13-07-2023,"IT образование, понимание процесса разработки ПО. Опыт работы QA или IT support <highlighttext>инженером</highlighttext> в IT от 1 года. ",Участие в процессе тестирования и сопровождения систем участвующих в процессе одобрения кредитов: Анализ тестовых и продукционных инцидентов. Функциональное тестирование. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83366709
Software инженер Digital Window ( Golang ),,Алматы,"Beeline, ТМ",21-07-2023,"Знание распространенных практик и инструментов разработки <highlighttext>программного</highlighttext> <highlighttext>обеспечения</highlighttext> (в рамках своего направления разработки). Опыт работы с Git flow, Gitlab CI. ",Разработка приложений и услуг. Структурный дизайн базы данных. Участие в разработке архитектуры приложений и компонентов. Управление процессами развертывания продукта. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83792085
Middle Java Software инженер (Проект Golden Number),,Алматы,"Beeline, ТМ",11-07-2023,"Дизайн структуры базы данных. Базовые навыки нормализации и денормализации, когда нужна первая и вторая. Метрики в Prometheus+Grafana. Опыт коммерческой разработки...","Команда проекта Golden Number разрабатывает для наших клиентов функционал на shop.beeline.kz, позволяющий купить (заказать) красивый номер от Beeline (в т...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83277974
Senior / Lead Data Software Engineer,,Астана,"Epam Kazakhstan (Эпам Казахстан),ТОО",04-07-2023,"Solid experience in Java, Python or Scala. Proficiency in SQL. Understanding of common Big Data problems (splitability, massive parallel processing...","Perform data ingestion processes to include existing data sources in the new platform. Participate in platform <highlighttext>engineering</highlighttext>, including cloud-based...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82960984
Разработчик программного обеспечения,,Алматы,"ALSECO, АО",27-06-2023,"Инструментарий разработчика: Postman, Консоль разработчика браузера. Git, JIRA. Базовые навыки DevOps (развёртывание и настройка прикладного <highlighttext>программного</highlighttext> <highlighttext>обеспечения</highlighttext>, навыки работы в...","Дорабатывать и исправлять баги в работе информационных систем, находящихся в эксплуатации, оптимизировать их работу. Разработкой структуры базы данных и хранимых...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82155198
Software support инженер ( Team Leader),,Алматы,"Beeline, ТМ",11-07-2023,"Обеспечение доступности систем отдела не ниже 99,9%. Знание телекоммуникационных стандартов/протоколов, бизнес-процессов, биллинговых и ERP систем и систем...","Обеспечивает доступность систем и их работоспособность на высоком уровне, обеспечивает должный уровень сервиса для клиентов. Тесно взаимодействует со структурами информ...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83252937
IT Software Engineer (remote),,Астана,iQ-SOLUTIONS,14-07-2023,Minimum 3 years of experience support Enterprise Content Management Platforms in a large organizations. Knowing OpenText ECM is advantageous. ,"Perform installations, configurations and testing of application <highlighttext>software</highlighttext>. Perform application packaging, testing and release management. Maintain security, backup, and redundancy...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83423904
